time;X;Y;Z;Roll;Pitch;yaw
501.1252441;0;0;600;-2.176490545;0.159977913;-27.89319667
501.1352539;0;0;600;-2.147107363;0.169499427;-28.1091791
501.1452637;0;0;600;-2.115098953;0.180607066;-28.32078663
501.1552734;0;0;600;-2.084951401;0.190795451;-28.475512
501.1652832;0;0;600;-2.052340746;0.19976984;-28.61756496
501.175293;0;0;600;-2.021008015;0.20665288;-28.82383464
501.1853027;0;0;600;-1.990821123;0.210928068;-28.90386421
501.1953125;0;0;600;-1.956702948;0.213619962;-29.10384927
501.2053223;0;0;600;-1.925982714;0.213471234;-29.32230714
501.215332;0;0;600;-1.894548059;0.209998935;-29.52352694
501.2253418;0;0;600;-1.865802765;0.204726577;-29.72428045
501.2353516;0;0;600;-1.840198994;0.200229734;-29.86041579
501.2453613;0;0;600;-1.816465497;0.200378463;-30.11879858
501.2553711;0;0;600;-1.794717312;0.208374634;-30.32489385
501.2653809;0;0;600;-1.769413829;0.225267649;-30.40385922
501.2753906;0;0;600;-1.743708968;0.246310502;-30.49074907
501.2854004;0;0;600;-1.718131781;0.265847832;-30.43846169
501.2954102;0;0;600;-1.696834564;0.281618744;-30.44120662
501.3054199;0;0;600;-1.681128383;0.294999808;-30.56391936
501.3154297;0;0;600;-1.667033315;0.309080333;-30.70904323
501.3254395;0;0;600;-1.652342916;0.323301762;-31.11498432
501.3354492;0;0;600;-1.641615987;0.334650874;-31.2110212
501.345459;0;0;600;-1.629685163;0.340167552;-31.15416746
501.3554688;0;0;600;-1.6216501;0.335585237;-31.16528902
501.3654785;0;0;600;-1.616115689;0.320108563;-31.2872405
501.3754883;0;0;600;-1.60740459;0.29885909;-31.47276742
501.385498;0;0;600;-1.603828907;0.273086458;-31.61345781
501.3955078;0;0;600;-1.602577686;0.246446997;-31.73191604
501.4055176;0;0;600;-1.605399847;0.222320348;-31.722452
501.4155273;0;0;600;-1.615581989;0.200217158;-31.59287898
501.4255371;0;0;600;-1.625004649;0.181421787;-31.64654885
501.4355469;0;0;600;-1.634384513;0.166088581;-31.7239765
501.4455566;0;0;600;-1.641583681;0.154102713;-31.86574457
501.4555664;0;0;600;-1.643103004;0.144814134;-31.93923394
501.4655762;0;0;600;-1.647095919;0.134696111;-31.8847989
501.4755859;0;0;600;-1.649933815;0.12203116;-31.68815261
501.4855957;0;0;600;-1.655847549;0.105891973;-31.6145369
501.4956055;0;0;600;-1.668100595;0.084253408;-31.54791005
501.5056152;0;0;600;-1.681018353;0.059333988;-31.59669024
501.515625;0;0;600;-1.698872685;0.033224545;-31.59167008
501.5256348;0;0;600;-1.712853551;0.009446833;-31.58220943
501.5356445;0;0;600;-1.72556138;-0.012376506;-31.58297069
501.5456543;0;0;600;-1.735390186;-0.034440629;-31.45066286
501.5556641;0;0;600;-1.74816072;-0.058175109;-30.98007652
501.5656738;0;0;600;-1.761494637;-0.083878994;-30.62565786
501.5756836;0;0;600;-1.773796558;-0.109525204;-30.40949779
501.5856934;0;0;600;-1.790697813;-0.136181012;-30.26514016
501.5957031;0;0;600;-1.802930713;-0.161286429;-30.05172531
501.6057129;0;0;600;-1.816233754;-0.185301319;-29.84470863
501.6157227;0;0;600;-1.827863812;-0.207039297;-29.62642211
501.6257324;0;0;600;-1.835595012;-0.225989878;-29.40996024
501.6357422;0;0;600;-1.840264916;-0.243497178;-29.20445967
501.645752;0;0;600;-1.839808822;-0.258758694;-28.99532758
501.6557617;0;0;600;-1.838705301;-0.275562078;-28.80858958
501.6657715;0;0;600;-1.835771322;-0.295660734;-28.54820524
501.6757813;0;0;600;-1.829610229;-0.321167618;-28.34822674
501.685791;0;0;600;-1.824829698;-0.354450256;-28.07688465
501.6958008;0;0;600;-1.813598156;-0.39325583;-27.78600557
501.7058105;0;0;600;-1.800204515;-0.436204404;-27.62185658
501.7158203;0;0;600;-1.784885287;-0.479275644;-27.52075986
501.7258301;0;0;600;-1.765409231;-0.519937873;-27.37566785
501.7358398;0;0;600;-1.746654153;-0.559011161;-27.17597355
501.7458496;0;0;600;-1.72452116;-0.597055674;-27.0375246
501.7558594;0;0;600;-1.703623772;-0.638806343;-26.85737777
501.7658691;0;0;600;-1.683465719;-0.683923542;-26.63024336
501.7758789;0;0;600;-1.672665596;-0.731350005;-26.39499086
501.7858887;0;0;600;-1.657076836;-0.774627626;-26.21332394
501.7958984;0;0;600;-1.642442226;-0.811924458;-26.34366021
501.8059082;0;0;600;-1.627008796;-0.844217181;-26.42395376
501.815918;0;0;600;-1.608941078;-0.871171892;-26.56774361
501.8259277;0;0;600;-1.594967365;-0.894542515;-26.63862814
501.8359375;0;0;600;-1.578825474;-0.914430201;-26.70749173
501.8459473;0;0;600;-1.567194581;-0.931190133;-26.64015265
501.855957;0;0;600;-1.552117348;-0.944778681;-26.63253112
501.8659668;0;0;600;-1.535864353;-0.954320669;-26.63965553
501.8759766;0;0;600;-1.519570351;-0.962106228;-26.71484745
501.8859863;0;0;600;-1.503524899;-0.967614889;-26.79564027
501.8959961;0;0;600;-1.490344167;-0.973033547;-26.87136478
501.9060059;0;0;600;-1.47836256;-0.97732389;-26.94350536
501.9160156;0;0;600;-1.467348814;-0.982198358;-27.09137046
501.9260254;0;0;600;-1.457849383;-0.987408459;-27.21892764
501.9360352;0;0;600;-1.447795391;-0.992735326;-27.22932726
501.9460449;0;0;600;-1.440805197;-0.997594833;-27.28496773
501.9560547;0;0;600;-1.431004763;-1.001803637;-27.16252535
501.9660645;0;0;600;-1.424197793;-1.0055933;-27.15691922
501.9760742;0;0;600;-1.416073203;-1.007700205;-27.09137046
501.986084;0;0;600;-1.40746057;-1.008128762;-27.02837847
